date,daily_readiness_score,daily_sleep_score,daily_activity_score,daily_activity_equivalent_walking_distance,daily_readiness_score_rolling_mean,daily_sleep_score_rolling_mean,daily_activity_score_rolling_mean
3/1/26,73,65,92,9858,,,
3/10/26,74,74,84,5941,,,
3/11/26,78,87,82,4244,75.0,75.33333333333333,86.0
3/12/26,64,67,87,6350,72.0,76.0,84.33333333333333
3/13/26,79,73,87,3737,73.66666666666667,75.66666666666667,85.33333333333333
3/14/26,84,88,90,13416,75.66666666666667,76.0,88.0
3/15/26,81,77,84,6760,81.33333333333333,79.33333333333333,87.0
3/16/26,85,81,80,9268,83.33333333333333,82.0,84.66666666666667
3/17/26,82,77,80,4605,82.66666666666667,78.33333333333333,81.33333333333333
3/18/26,86,82,86,11783,84.33333333333333,80.0,82.0
3/19/26,85,83,85,4483,84.33333333333333,80.66666666666667,83.66666666666667
3/2/26,86,90,92,5477,85.66666666666667,85.0,87.66666666666667
3/20/26,86,81,80,6005,85.66666666666667,84.66666666666667,85.66666666666667
3/21/26,78,74,81,10182,83.33333333333333,81.66666666666667,84.33333333333333
3/22/26,82,90,87,14709,82.0,81.66666666666667,82.66666666666667
3/23/26,81,81,85,8759,80.33333333333333,81.66666666666667,84.33333333333333
3/24/26,85,74,93,12556,82.66666666666667,81.66666666666667,88.33333333333333
3/25/26,81,81,90,9789,82.33333333333333,78.66666666666667,89.33333333333333
3/26/26,88,85,89,10828,84.66666666666667,80.0,90.66666666666667
3/27/26,86,77,71,10036,85.0,81.0,83.33333333333333
3/28/26,89,89,79,6505,87.66666666666667,83.66666666666667,79.66666666666667
3/29/26,90,81,93,10730,88.33333333333333,82.33333333333333,81.0
3/3/26,83,82,98,11040,87.33333333333333,84.0,90.0
3/30/26,79,73,95,11505,84.0,78.66666666666667,95.33333333333333
3/31/26,83,80,88,7194,81.66666666666667,78.33333333333333,93.66666666666667
3/4/26,79,82,94,7884,80.33333333333333,78.33333333333333,92.33333333333333
3/5/26,81,75,88,4624,81.0,79.0,90.0
3/6/26,78,80,80,3103,79.33333333333333,79.0,87.33333333333333
3/7/26,80,79,85,8123,79.66666666666667,78.0,84.33333333333333
3/8/26,77,71,89,8823,78.33333333333333,76.66666666666667,84.66666666666667
3/9/26,79,82,93,12902,78.66666666666667,77.33333333333333,89.0
